scenario,dimension,bin,eue_mwh,share
base,weather_year,2007,88.709,0.008724099576427455
base,weather_year,2010,8720.688,0.8576373365380738
base,weather_year,2011,207.845,0.020440546917027184
base,weather_year,2018,108.75,0.010695034651912272
base,weather_year,2022,820.531,0.08069524117671933
base,weather_year,2023,221.747,0.021807741139839912
base,month,1,8866.265,0.8719541278899949
base,month,2,207.845,0.020440546917027184
base,month,8,218.21800000000002,0.02146068111881372
base,month,9,3.529,0.00034706002102619224
base,month,12,872.413,0.08579758405313785
base,hour_local,0,1184.288,0.11646897653189778
base,hour_local,1,5563.87,0.5471796087240013
base,hour_local,2,2711.37,0.26665007911867017
base,hour_local,12,4.221,0.00041511486221353295
base,hour_local,13,238.667,0.02347174101395813
base,hour_local,14,26.798000000000002,0.0026354532285236335
base,hour_local,15,40.064,0.003940099938337594
base,hour_local,16,29.872999999999998,0.002937864553163911
base,hour_local,17,22.715,0.0022339099964890784
base,hour_local,18,9.926,0.0009761739214241952
base,hour_local,19,0.88,8.6543728677543e-05
base,hour_local,20,9.453,0.0009296566672600157
base,hour_local,21,17.596999999999998,0.0017305795381121862
base,hour_local,22,50.647,0.004980886620831273
base,hour_local,23,257.901,0.025363311556439793
base,season,fall,3.529,0.0003470600210261923
base,season,summer,218.21800000000002,0.021460681118813725
base,season,winter,9946.523,0.9781922588601601
high,weather_year,2007,156320.754,0.19433779814148716
high,weather_year,2008,17.808,2.2138887004751804e-05
high,weather_year,2009,12.612,1.567922523045428e-05
high,weather_year,2010,111871.813,0.13907892110420733
high,weather_year,2011,161605.803,0.2009081655395991
high,weather_year,2012,621.088,0.0007721359530552161
high,weather_year,2013,5133.143,0.006381518017533282
high,weather_year,2018,213717.123,0.26569290414856483
high,weather_year,2019,0.779,9.684519865623122e-07
high,weather_year,2020,158.319,0.0001968220154821036
high,weather_year,2021,7339.611,0.00912459673112272
high,weather_year,2022,89542.476,0.11131911266226978
high,weather_year,2023,58035.151,0.07214923912245669
high,month,1,355926.738,0.44248774902021
high,month,2,167778.744,0.2085823593449674
high,month,6,609.153,0.0007572983735178333
high,month,7,481.158,0.0005981751231711797
high,month,8,41988.564,0.052200138920024106
high,month,9,8594.164,0.010684255710708995
high,month,12,228997.959,0.28469002350740036
high,hour_local,0,75529.336,0.09389799164689648
high,hour_local,1,105307.896,0.13091866634389906
high,hour_local,2,65300.493,0.08118150471033167
high,hour_local,3,16153.977,0.020082607338295123
high,hour_local,4,17092.623,0.021249531065353874
