case_id,region,event_id,start_hour_idx,end_hour_idx,duration_h,n_hours_above_eps,weather_year,calendar_year,month,season,start_hour_local,start_hour_et_fixed,total_eue_mwh,peak_eue_mwh,dr_energy_mwh,dr_shortfall_mwh,max_concurrent_regions,is_multiregion
baseline,p124,baseline|p124|0,499,507,9,9,2007,2007,1,winter,14,14,33.873999999999995,5.926,0.0,0.0,1,False
baseline,p124,baseline|p124|1,1028,1030,3,3,2007,2007,2,winter,15,15,1.178,0.694,0.0,0.0,1,False
baseline,p124,baseline|p124|2,1417,1419,3,3,2007,2007,3,spring,20,20,0.625,0.252,0.0,0.0,1,False
baseline,p124,baseline|p124|3,4973,4974,2,2,2007,2007,7,summer,0,0,0.3,0.183,0.0,0.0,1,False
baseline,p124,baseline|p124|4,5109,5118,10,10,2007,2007,8,summer,16,16,16.462999999999997,4.257,0.0,0.0,1,False
baseline,p124,baseline|p124|5,5652,5652,1,1,2007,2007,8,summer,7,7,0.119,0.119,0.0,0.0,1,False
baseline,p124,baseline|p124|6,5714,5716,3,3,2007,2007,8,summer,21,21,1.388,0.624,0.0,0.0,1,False
baseline,p124,baseline|p124|7,5928,5934,7,7,2007,2007,9,fall,19,19,5.663,2.511,0.0,0.0,1,False
baseline,p124,baseline|p124|8,7274,7278,5,5,2007,2007,10,fall,21,21,2.386,0.708,0.0,0.0,1,False
baseline,p124,baseline|p124|9,7566,7566,1,1,2007,2007,11,fall,1,1,0.123,0.123,0.0,0.0,1,False
baseline,p124,baseline|p124|10,7871,7888,18,18,2007,2007,11,fall,18,18,37.550000000000004,3.694,0.0,0.0,1,False
baseline,p124,baseline|p124|11,8161,8169,9,9,2007,2007,12,winter,20,20,49.461,11.0,0.0,0.0,1,False
baseline,p124,baseline|p124|12,8445,8449,5,5,2007,2007,12,winter,16,16,7.567,2.985,0.0,0.0,1,False
baseline,p124,baseline|p124|13,9260,9265,6,6,2008,2008,1,winter,15,15,31.734,11.144,0.0,0.0,1,False
baseline,p124,baseline|p124|14,10080,10081,2,2,2008,2008,2,winter,19,19,0.67,0.402,0.0,0.0,1,False
baseline,p124,baseline|p124|15,13365,13373,9,9,2008,2008,7,summer,16,16,22.589999999999996,4.645,0.0,0.0,1,False
baseline,p124,baseline|p124|16,13385,13394,10,10,2008,2008,7,summer,12,12,19.844,4.252,0.0,0.0,1,False
baseline,p124,baseline|p124|17,13533,13540,8,8,2008,2008,7,summer,16,16,12.012,3.266,0.0,0.0,1,False
